datetime,open,high,low,close,volume
2021-03-01 09:30:00,64.18,65.10,64.07,64.97,373239
2021-03-01 10:30:00,64.96,65.35,64.82,65.35,195191
2021-03-01 11:30:00,65.38,65.75,65.20,65.21,210885
2021-03-01 12:30:00,65.19,65.50,65.18,65.50,138054
2021-03-01 13:30:00,65.51,65.74,65.46,65.49,166386
2021-03-01 14:30:00,65.47,65.56,65.11,65.11,235650
2021-03-01 15:30:00,65.12,65.25,64.79,64.91,322868
2021-03-02 09:30:00,64.86,65.47,64.38,64.38,192881
2021-03-02 10:30:00,64.37,64.98,64.33,64.84,219380
2021-03-02 11:30:00,64.83,65.19,64.61,65.12,467944
2021-03-02 12:30:00,65.10,65.70,65.09,65.70,284745
2021-03-02 13:30:00,65.70,65.85,65.31,65.44,265248
2021-03-02 14:30:00,65.45,65.56,65.40,65.48,170257
2021-03-02 15:30:00,65.47,65.66,65.41,65.41,367612
2021-03-03 09:30:00,65.35,65.88,65.16,65.79,226822
2021-03-03 10:30:00,65.78,66.85,65.64,66.78,456975
2021-03-03 11:30:00,66.76,67.15,66.65,67.04,554913
2021-03-03 12:30:00,67.04,67.05,66.64,66.77,171012
2021-03-03 13:30:00,66.75,67.07,66.60,67.05,260363
2021-03-03 14:30:00,67.04,67.64,66.88,67.41,511903
2021-03-03 15:30:00,67.42,67.49,66.84,66.94,605942
2021-03-04 09:30:00,66.82,66.83,65.63,65.89,392243
2021-03-04 10:30:00,65.86,65.96,64.88,64.96,352278
2021-03-04 11:30:00,64.98,65.63,64.86,65.17,231296
2021-03-04 12:30:00,65.14,65.33,64.25,64.40,311526
2021-03-04 13:30:00,64.40,64.50,63.34,63.90,341363
2021-03-04 14:30:00,63.90,64.36,63.65,64.01,558489
2021-03-04 15:30:00,64.00,64.14,63.84,63.98,657960
2021-03-05 09:30:00,64.50,64.77,63.73,63.83,267574
2021-03-05 10:30:00,63.82,63.87,62.88,62.88,253357
2021-03-05 11:30:00,62.94,64.07,62.79,63.95,230625
2021-03-05 12:30:00,63.94,64.12,63.88,64.04,276671
