datetime,open,high,low,close,volume
2021-03-09 14:30:00,267.47,268.14,267.09,267.85,1853153
2021-03-09 15:30:00,267.88,268.16,265.14,265.74,2843576
2021-03-10 09:30:00,268.25,268.97,264.36,264.53,3946693
2021-03-10 10:30:00,264.53,265.04,262.89,264.90,1963683
2021-03-10 11:30:00,264.92,265.58,263.72,264.45,1022118
2021-03-10 12:30:00,264.41,265.62,263.43,265.33,1469472
2021-03-10 13:30:00,265.33,265.55,263.62,264.81,1181090
2021-03-10 14:30:00,264.82,266.28,264.75,265.58,1272202
2021-03-10 15:30:00,265.56,266.19,264.38,264.90,1875532
2021-03-11 09:30:00,268.11,274.52,267.82,273.16,5639582
2021-03-11 10:30:00,273.14,274.68,273.14,274.14,2074341
2021-03-11 11:30:00,274.15,275.97,273.81,275.62,2509211
2021-03-11 12:30:00,275.65,277.85,275.12,277.35,2563824
2021-03-11 13:30:00,277.38,277.90,275.50,276.29,2002433
2021-03-11 14:30:00,276.30,276.30,273.99,274.88,2279122
2021-03-11 15:30:00,274.84,274.84,273.29,273.87,2197070
2021-03-12 09:30:00,269.14,269.44,264.22,264.77,6345388
2021-03-12 10:30:00,264.83,265.91,264.03,265.53,2660086
2021-03-12 11:30:00,265.54,267.32,265.20,266.95,2272994
2021-03-12 12:30:00,267.00,267.68,265.60,266.58,1810648
2021-03-12 13:30:00,266.56,266.71,265.68,266.69,1426106
2021-03-12 14:30:00,266.67,268.30,266.22,268.20,2131113
2021-03-12 15:30:00,268.22,269.74,267.97,268.44,2195100
2021-03-15 09:30:00,269.01,274.04,268.50,271.88,4017551
2021-03-15 10:30:00,271.86,273.11,271.50,271.69,1607633
2021-03-15 11:30:00,271.62,272.29,270.94,271.95,1214623
2021-03-15 12:30:00,271.87,273.25,271.70,272.23,1555417
2021-03-15 13:30:00,272.19,274.95,271.97,274.94,1439911
2021-03-15 14:30:00,274.98,275.96,273.28,273.61,2173166
2021-03-15 15:30:00,273.59,273.75,272.30,273.75,1779982
2021-03-16 09:30:00,275.30,279.96,274.94,279.90,4514412
2021-03-16 10:30:00,279.95,282.13,279.69,280.71,4073817
2021-03-16 11:30:00,280.70,281.61,278.36,278.66,2533311
2021-03-16 12:30:00,278.63,281.23,278.33,281.15,1588745
2021-03-16 13:30:00,281.15,281.59,279.38,279.41,2267352
2021-03-16 14:30:00,279.36,281.30,277.90,281.12,3013819
2021-03-16 15:30:00,281.13,281.56,278.91,279.28,2298572
2021-03-17 09:30:00,275.70,281.91,275.41,280.84,3829552
2021-03-17 10:30:00,280.76,281.02,278.57,278.83,2434695
2021-03-17 11:30:00,278.81,279.61,277.76,279.24,1902454
2021-03-17 12:30:00,279.08,279.97,278.30,279.73,1350686
2021-03-17 13:30:00,279.75,283.45,278.81,282.52,2996134
2021-03-17 14:30:00,282.53,286.23,282.12,284.40,4308395
2021-03-17 15:30:00,284.42,284.79,282.79,284.02,2455439
2021-03-18 09:30:00,280.69,282.99,279.49,281.25,3235331
2021-03-18 10:30:00,281.29,284.08,280.05,283.84,2246381
2021-03-18 11:30:00,283.90,284.48,282.55,283.98,2328738
2021-03-18 12:30:00,283.94,284.30,282.05,284.08,1480263
2021-03-18 13:30:00,284.08,285.17,282.13,282.74,2062738
2021-03-18 14:30:00,282.93,282.94,280.01,280.73,2601735
2021-03-18 15:30:00,280.69,280.91,278.28,278.62,2947901
2021-03-19 09:30:00,281.94,289.50,281.40,288.36,9487876
2021-03-19 10:30:00,288.35,291.71,288.34,290.82,6102995
2021-03-19 11:30:00,290.77,292.80,289.51,291.32,3601941
2021-03-19 12:30:00,291.29,291.50,289.54,290.68,2862175
2021-03-19 13:30:00,290.68,291.45,288.84,289.78,3556624
2021-03-19 14:30:00,289.80,291.58,289.16,289.65,2871335
2021-03-19 15:30:00,289.68,290.85,288.65,290.13,4221010
2021-03-22 09:30:00,290.45,294.46,286.75,292.99,6937987
2021-03-22 10:30:00,293.10,295.30,292.45,294.00,2883328
2021-03-22 11:30:00,294.00,298.89,293.95,298.57,4644821
2021-03-22 12:30:00,298.64,299.70,297.57,297.57,2883578
2021-03-22 13:30:00,297.86,299.22,297.45,298.35,1677038
2021-03-22 14:30:00,298.36,298.74,295.25,295.58,2734972
2021-03-22 15:30:00,295.53,296.05,293.36,293.36,2721082
2021-03-23 09:30:00,293.28,296.60,291.12,295.92,5483585
2021-03-23 10:30:00,295.98,297.95,293.61,296.52,2387720
2021-03-23 11:30:00,296.65,297.04,294.27,295.31,0
2021-03-23 12:30:00,295.36,296.45,294.45,295.72,0
2021-03-23 13:30:00,295.73,295.76,293.47,294.96,0
2021-03-23 14:30:00,295.00,295.72,291.73,292.17,0
2021-03-23 15:30:00,292.17,292.48,289.90,290.49,0
2021-03-24 09:30:00,291.01,291.70,288.35,289.20,3727396
2021-03-24 10:30:00,289.20,291.11,288.55,289.72,2096491
2021-03-24 11:30:00,289.61,289.80,285.64,287.01,2799064
2021-03-24 12:30:00,286.98,286.99,283.59,285.03,2013601
2021-03-24 13:30:00,285.02,286.00,284.52,284.92,1829062
2021-03-24 14:30:00,284.92,285.07,282.60,282.90,1738990
2021-03-24 15:30:00,283.00,283.76,281.31,282.31,0
2021-03-25 09:30:00,280.74,288.06,279.70,283.40,6308565
2021-03-25 10:30:00,283.38,284.27,279.44,281.16,3197168
2021-03-25 11:30:00,281.15,281.97,278.67,281.04,2516949
2021-03-25 12:30:00,281.10,282.83,279.83,280.33,2570770
2021-03-25 13:30:00,280.35,281.01,278.12,278.28,1832365
2021-03-25 14:30:00,278.30,281.97,278.28,280.29,2524454
2021-03-25 15:30:00,280.28,280.65,277.75,278.74,2817861
2021-03-26 09:30:00,278.67,282.71,278.25,280.89,3447916
2021-03-26 10:30:00,280.89,281.66,279.66,280.16,1688509
2021-03-26 11:30:00,280.17,283.66,279.83,283.05,2118412
2021-03-26 12:30:00,283.11,284.50,282.52,284.10,1511307
2021-03-26 13:30:00,284.14,284.41,278.75,279.78,2509804
2021-03-26 14:30:00,279.78,281.03,277.77,281.03,2061568
