datetime,open,high,low,close,volume
2021-03-08 15:30:00,464.57,468.35,462.66,463.23,2125724
2021-03-09 09:30:00,487.15,496.75,482.82,494.66,3915144
2021-03-09 10:30:00,494.56,497.11,489.00,495.95,1435823
2021-03-09 11:30:00,496.09,499.89,493.65,498.60,1833284
2021-03-09 12:30:00,499.12,501.00,495.52,498.05,999827
2021-03-09 13:30:00,498.28,502.74,498.07,498.51,1222943
2021-03-09 14:30:00,498.65,504.67,498.38,502.96,1184749
2021-03-09 15:30:00,502.80,504.00,498.00,500.81,1315651
2021-03-10 09:30:00,513.06,519.13,505.37,505.74,3692893
2021-03-10 10:30:00,505.73,510.71,501.33,509.60,1407135
2021-03-10 11:30:00,509.33,510.22,502.41,503.44,552646
2021-03-10 12:30:00,503.37,506.27,499.08,504.09,744615
2021-03-10 13:30:00,504.36,505.00,498.41,503.03,714886
2021-03-10 14:30:00,503.04,505.89,500.68,500.68,596294
2021-03-10 15:30:00,500.64,502.83,498.30,498.73,1256132
2021-03-11 09:30:00,516.84,518.43,509.39,512.81,2136832
2021-03-11 10:30:00,512.82,518.10,512.82,517.19,933994
2021-03-11 11:30:00,517.41,519.65,516.43,518.65,848188
2021-03-11 12:30:00,518.94,521.85,517.22,520.46,748841
2021-03-11 13:30:00,520.49,521.28,517.33,519.84,577600
2021-03-11 14:30:00,519.99,521.83,519.16,521.51,648339
2021-03-11 15:30:00,521.36,521.59,518.88,519.83,876476
2021-03-12 09:30:00,505.93,515.04,503.60,508.73,2027264
2021-03-12 10:30:00,508.95,512.33,506.26,510.00,761136
2021-03-12 11:30:00,509.97,513.73,508.74,513.45,466219
2021-03-12 12:30:00,513.54,515.46,510.39,513.57,525124
2021-03-12 13:30:00,513.64,514.11,509.61,511.17,429401
2021-03-12 14:30:00,511.47,514.35,510.69,513.27,508675
2021-03-12 15:30:00,513.30,515.10,512.78,514.24,653028
2021-03-15 09:30:00,514.32,524.53,511.00,519.87,1190812
2021-03-15 10:30:00,519.79,524.00,517.56,518.90,593982
2021-03-15 11:30:00,519.00,521.91,517.35,520.01,536163
2021-03-15 12:30:00,519.74,521.55,518.60,519.91,327181
2021-03-15 13:30:00,519.80,523.23,519.57,522.50,354130
2021-03-15 14:30:00,522.74,525.58,522.58,524.32,575475
2021-03-15 15:30:00,524.23,528.27,523.96,528.12,786589
2021-03-16 09:30:00,533.94,539.68,532.12,537.42,2003193
2021-03-16 10:30:00,537.67,540.49,536.80,537.48,760133
2021-03-16 11:30:00,537.53,538.68,530.32,531.24,775837
2021-03-16 12:30:00,531.31,536.95,531.00,534.16,597339
