datetime,open,open_1 change,open_8 change,open_1 change(%),open_8 change(%),open_1 trend,open_8 trend,open trend score (8),high,low,close,sma,sma slope,ema,ema slope,percent_b,rsi,adx,close over sma,close over ema,price movement,price range,price trend,day,hour
2021-03-15 10:30:00,82.63,0.69,2.83,0.8421,3.5464,1,1,0.875,83.36,82.28,82.45,81.1233,0.0151,81.399,0.0292,0.8464,72.9788,56.9477,1,1,-0.18,1.08,0,0,10
2021-03-15 11:30:00,82.46,-0.17,2.27,-0.2057,2.8308,0,1,0.75,82.7,82.03,82.29,81.3544,0.0257,81.5772,0.0198,0.7915,70.9906,56.4799,1,1,-0.17,0.67,0,0,11
2021-03-15 12:30:00,82.27,-0.19,1.91,-0.2304,2.3768,0,1,0.625,82.53,81.76,81.95,81.5311,0.0196,81.6518,0.0083,0.7119,66.8245,55.5928,1,1,-0.32,0.77,0,0,12
2021-03-15 13:30:00,81.95,-0.32,1.22,-0.389,1.5112,0,1,0.5,82.37,81.62,82.27,81.7033,0.0191,81.7754,0.0137,0.7681,68.6871,54.5324,1,1,0.32,0.75,1,0,13
2021-03-15 14:30:00,82.37,0.42,1.43,0.5125,1.7667,1,1,0.625,82.61,82.08,82.25,81.85,0.0163,81.8703,0.0105,0.8014,68.4285,53.7202,1,1,-0.12,0.53,0,0,14
2021-03-15 15:30:00,82.24,-0.13,1.41,-0.1578,1.7444,0,1,0.375,82.57,82.17,82.5,82.0356,0.0206,81.9963,0.014,0.8588,69.9513,52.9659,1,1,0.26,0.4,1,0,15
2021-03-16 09:30:00,83.35,1.11,2.43,1.3497,3.003,1,1,0.875,84.67,83.11,84.25,82.4056,0.0411,82.447,0.0501,1.2019,77.9637,53.4526,1,1,0.9,1.56,1,1,9
2021-03-16 10:30:00,84.25,0.9,2.31,1.0798,2.8191,1,1,0.875,84.75,84.22,84.39,82.7767,0.0412,82.8356,0.0432,1.0892,78.4586,53.9385,1,1,0.14,0.53,1,1,10
2021-03-16 11:30:00,84.39,0.14,1.76,0.1662,2.13,1,1,0.875,84.54,83.28,83.35,82.8556,0.0088,82.9385,0.0114,0.8184,66.5098,52.8968,1,1,-1.04,1.26,0,1,11
2021-03-16 12:30:00,83.34,-1.05,0.88,-1.2442,1.0672,0,1,0.5,84.08,83.29,83.73,82.9978,0.0158,83.0968,0.0176,0.857,68.4033,51.9296,1,1,0.39,0.79,1,1,12
2021-03-16 13:30:00,83.74,0.4,1.47,0.48,1.7868,1,1,0.625,83.77,82.44,82.57,83.0289,0.0035,82.9914,-0.0117,0.6079,57.6821,49.8337,0,0,-1.17,1.33,0,1,13
2021-03-16 14:30:00,82.57,-1.17,0.62,-1.3972,0.7566,0,1,0.25,83.13,82.26,83.0,83.1456,0.013,82.9931,0.0002,0.6777,60.174,47.6537,0,1,0.43,0.87,1,1,14
2021-03-16 15:30:00,83.0,0.43,0.63,0.5208,0.7648,1,1,0.25,83.29,82.55,82.76,83.2,0.006,82.9465,-0.0052,0.6092,58.117,45.7731,0,0,-0.24,0.74,0,1,15
2021-03-17 09:30:00,81.43,-1.57,-0.81,-1.8916,-0.9849,0,0,0.0,82.02,80.61,81.57,83.1244,-0.0084,82.6712,-0.0306,0.3246,49.1461,43.1085,0,0,0.14,1.41,1,2,9
2021-03-17 10:30:00,81.55,0.12,-1.8,0.1474,-2.1596,1,0,0.125,81.7,80.95,81.38,83.0,-0.0138,82.413,-0.0287,0.2636,47.8754,40.6342,0,0,-0.17,0.75,0,2,10
2021-03-17 11:30:00,81.39,-0.16,-2.86,-0.1962,-3.3947,0,0,0.0,81.43,80.63,81.13,82.6533,-0.0385,82.1564,-0.0285,0.1967,46.1834,38.6301,0,0,-0.26,0.8,0,2,11
2021-03-17 12:30:00,80.95,-0.44,-3.44,-0.5406,-4.0763,0,0,0.0,81.14,80.42,81.08,82.2856,-0.0409,81.9411,-0.0239,0.1757,45.8345,36.961,0,0,0.13,0.72,1,2,12
2021-03-17 13:30:00,81.09,0.14,-2.25,0.1729,-2.6998,1,0,0.125,82.76,80.75,81.86,82.12,-0.0184,81.9249,-0.0018,0.3519,51.9348,34.9054,0,0,0.77,2.01,1,2,13
2021-03-17 14:30:00,81.86,0.77,-1.88,0.9496,-2.245,1,0,0.625,83.25,81.78,82.63,81.9978,-0.0136,82.0659,0.0157,0.5355,57.0744,33.4041,1,1,0.77,1.47,1,2,14
2021-03-17 15:30:00,82.64,0.78,0.07,0.9528,0.0848,1,1,0.75,83.12,82.29,82.66,82.0078,0.0011,82.1847,0.0132,0.5436,57.2661,32.0101,1,1,0.02,0.83,1,2,15
2021-03-18 09:30:00,81.06,-1.58,-1.94,-1.9119,-2.3373,0,0,0.125,81.6,79.57,80.23,81.7,-0.0342,81.7938,-0.0434,-0.0271,41.21,31.0561,0,0,-0.83,2.03,0,3,9
2021-03-18 10:30:00,80.24,-0.82,-1.19,-1.0116,-1.4614,0,0,0.0,80.8,79.85,80.39,81.4367,-0.0293,81.513,-0.0312,0.0723,42.356,30.1703,0,0,0.15,0.95,1,3,10
2021-03-18 11:30:00,80.42,0.18,-1.13,0.2243,-1.3857,1,0,0.125,80.65,80.02,80.6,81.3289,-0.012,81.3304,-0.0203,0.1527,43.9017,29.3477,0,0,0.18,0.63,1,3,11
2021-03-18 12:30:00,80.58,0.16,-0.81,0.199,-0.9952,1,0,0.25,80.64,79.54,79.71,81.1433,-0.0206,81.0063,-0.036,0.0383,39.1147,28.9281,0,0,-0.87,1.1,0,3,12
2021-03-18 13:30:00,79.7,-0.88,-1.25,-1.0921,-1.5442,0,0,0.0,79.89,79.11,79.14,80.9222,-0.0246,80.6331,-0.0415,0.0148,36.3788,28.8341,0,0,-0.56,0.78,0,3,13
2021-03-18 14:30:00,79.14,-0.56,-1.95,-0.7026,-2.4047,0,0,0.0,79.38,78.38,78.76,80.6644,-0.0286,80.2585,-0.0416,0.0303,34.6393,29.2119,0,0,-0.38,1.0,0,3,14
2021-03-18 15:30:00,78.75,-0.39,-3.11,-0.4928,-3.7992,0,0,0.0,78.76,78.01,78.13,80.25,-0.046,79.8328,-0.0473,0.0037,31.9147,29.783,0,0,-0.62,0.75,0,3,15
2021-03-19 09:30:00,78.39,-0.36,-4.25,-0.4571,-5.1428,0,0,0.0,79.21,77.59,78.42,79.7822,-0.052,79.5502,-0.0314,0.0872,34.4698,29.7471,0,0,0.03,1.62,1,4,9
2021-03-19 10:30:00,78.42,0.03,-2.64,0.0383,-3.2568,1,0,0.125,78.82,77.87,78.46,79.3156,-0.0519,79.3322,-0.0242,0.1342,34.8331,29.7139,0,0,0.04,0.95,1,4,10
2021-03-19 11:30:00,78.44,0.02,-1.8,0.0255,-2.2433,1,0,0.25,79.01,78.29,78.75,79.1511,-0.0183,79.2157,-0.0129,0.2025,37.5368,29.429,0,0,0.31,0.72,1,4,11
2021-03-19 12:30:00,78.75,0.31,-1.67,0.3952,-2.0766,1,0,0.375,79.34,78.75,79.17,79.0156,-0.0151,79.2066,-0.001,0.2902,41.333,28.725,1,0,0.42,0.59,1,4,12
2021-03-19 13:30:00,79.19,0.44,-1.39,0.5587,-1.725,1,0,0.75,79.26,78.61,78.79,78.8144,-0.0223,79.1233,-0.0093,0.2524,39.0222,28.1969,0,0,-0.4,0.65,0,4,13
2021-03-19 14:30:00,78.79,-0.4,-0.91,-0.5051,-1.1418,0,0,0.625,78.98,78.06,78.25,78.6522,-0.018,78.9486,-0.0194,0.1895,35.9467,28.1824,0,0,-0.54,0.92,0,4,14
2021-03-19 15:30:00,78.26,-0.53,-0.88,-0.6727,-1.112,0,0,0.0,79.11,78.22,79.06,78.6433,-0.001,78.9709,0.0025,0.3474,43.1807,27.976,1,1,0.8,0.89,1,4,15
2021-03-22 09:30:00,80.04,1.78,1.29,2.2745,1.6381,1,1,0.875,80.86,79.22,79.72,78.75,0.0119,79.1207,0.0166,0.4771,48.3038,26.2674,1,1,-0.32,1.64,0,0,9
2021-03-22 10:30:00,79.72,-0.32,1.33,-0.3998,1.6966,0,1,0.75,80.53,79.61,80.33,78.9944,0.0272,79.3626,0.0269,0.5961,52.5612,24.6809,1,1,0.61,0.92,1,0,10
2021-03-22 11:30:00,80.33,0.61,1.91,0.7652,2.4356,1,1,0.875,80.91,80.12,80.81,79.26,0.0295,79.6521,0.0322,0.6884,55.6559,23.5894,1,1,0.48,0.79,1,0,11
2021-03-22 12:30:00,80.81,0.48,2.37,0.5975,3.0214,1,1,0.875,81.25,80.75,80.9,79.5311,0.0301,79.9016,0.0277,0.7237,56.2324,22.9055,1,1,0.09,0.5,1,0,12
2021-03-22 13:30:00,80.89,0.08,2.14,0.099,2.7175,1,1,0.875,81.26,80.87,81.0,79.7811,0.0278,80.1213,0.0244,0.7906,56.9029,22.2804,1,1,0.11,0.39,1,0,13
2021-03-22 14:30:00,81.01,0.12,1.82,0.1483,2.2983,1,1,0.875,81.17,80.32,80.36,79.9133,0.0147,80.1691,0.0053,0.7157,51.4687,20.9897,1,1,-0.65,0.85,0,0,14
2021-03-22 15:30:00,80.35,-0.66,1.56,-0.8147,1.9799,0,1,0.5,80.6,80.12,80.3,80.0811,0.0186,80.1952,0.0029,0.6983,50.9772,19.5457,1,1,-0.05,0.48,0,0,15
2021-03-23 09:30:00,80.11,-0.24,1.85,-0.2987,2.3639,0,1,0.25,80.34,78.61,78.8,80.1422,0.0068,79.9162,-0.031,0.3202,40.5513,19.6166,0,0,-1.31,1.73,0,1,9
2021-03-23 10:30:00,78.79,-1.32,-1.25,-1.6477,-1.5617,0,0,0.0,79.35,78.47,79.17,80.1544,0.0014,79.767,-0.0166,0.4357,43.6146,19.7998,0,0,0.38,0.88,1,1,10
2021-03-23 11:30:00,79.17,0.38,-0.55,0.4823,-0.6899,1,0,0.125,79.28,78.55,78.87,80.06,-0.0105,79.5876,-0.0199,0.3648,41.7367,19.9699,0,0,-0.3,0.73,0,1,11
2021-03-23 12:30:00,78.87,-0.3,-1.46,-0.3789,-1.8175,0,0,0.125,79.25,78.75,78.81,79.8911,-0.0188,79.4321,-0.0173,0.3539,41.3532,20.1278,0,0,-0.06,0.5,0,1,12
2021-03-23 13:30:00,78.8,-0.07,-2.01,-0.0888,-2.4873,0,0,0.125,78.81,78.16,78.57,79.6422,-0.0277,79.2596,-0.0192,0.2922,39.7787,20.8201,0,0,-0.23,0.65,0,1,13
2021-03-23 14:30:00,78.59,-0.21,-2.3,-0.2665,-2.8434,0,0,0.0,78.62,77.95,78.1,79.3311,-0.0346,79.0277,-0.0258,0.1655,36.8219,21.6447,0,0,-0.49,0.67,0,1,14
2021-03-23 15:30:00,78.09,-0.5,-2.92,-0.6362,-3.6045,0,0,0.0,78.5,78.04,78.34,79.0356,-0.0328,78.8902,-0.0153,0.2329,39.3029,22.4104,0,0,0.25,0.46,1,1,15
2021-03-24 09:30:00,77.58,-0.51,-2.77,-0.6531,-3.4474,0,0,0.0,78.47,76.71,77.29,78.6944,-0.0379,78.5701,-0.0356,0.0105,33.1664,24.1375,0,0,-0.29,1.76,0,2,9
2021-03-24 10:30:00,77.27,-0.31,-2.84,-0.3996,-3.5451,0,0,0.0,78.8,77.12,78.69,78.5156,-0.0199,78.5941,0.0027,0.3577,45.406,25.1841,1,1,1.42,1.68,1,2,10
2021-03-24 11:30:00,78.68,1.41,-0.11,1.8248,-0.1396,1,0,0.5,78.68,77.83,78.07,78.4344,-0.009,78.4893,-0.0116,0.2271,41.7587,26.156,0,0,-0.61,0.85,0,2,11
2021-03-24 12:30:00,78.04,-0.64,-1.13,-0.8134,-1.4273,0,0,0.25,78.08,77.39,77.81,78.2833,-0.0168,78.3534,-0.0151,0.1888,40.2969,27.3908,0,0,-0.23,0.69,0,2,12
2021-03-24 13:30:00,77.81,-0.23,-1.06,-0.2947,-1.344,0,0,0.25,78.15,77.54,77.77,78.1611,-0.0136,78.2367,-0.013,0.1921,40.0645,28.4057,0,0,-0.04,0.61,0,2,13
2021-03-24 14:30:00,77.76,-0.05,-1.04,-0.0643,-1.3198,0,0,0.25,77.77,77.16,77.2,77.9822,-0.0199,78.0294,-0.023,0.112,36.8074,29.6398,0,0,-0.56,0.61,0,2,14
2021-03-24 15:30:00,77.21,-0.55,-1.38,-0.7073,-1.7559,0,0,0.0,77.29,76.44,76.44,77.7456,-0.0263,77.7115,-0.0353,0.0324,32.9598,31.27,0,0,-0.77,0.85,0,2,15
2021-03-25 09:30:00,75.96,-1.25,-2.13,-1.619,-2.7276,0,0,0.0,76.84,75.33,76.03,77.5156,-0.0256,77.3752,-0.0374,0.0291,31.0727,33.3668,0,0,0.07,1.51,1,3,9
2021-03-25 10:30:00,76.05,0.09,-1.53,0.1185,-1.9722,1,0,0.125,76.09,74.97,75.74,77.2267,-0.0321,77.0482,-0.0363,0.0381,29.7742,35.473,0,0,-0.31,1.12,0,3,10
2021-03-25 11:30:00,75.73,-0.32,-1.54,-0.4208,-1.993,0,0,0.0,76.84,75.37,76.78,77.17,-0.0063,76.9945,-0.006,0.2395,39.5331,36.1185,0,0,1.05,1.47,1,3,11
2021-03-25 12:30:00,76.77,1.04,-1.91,1.3733,-2.4276,1,0,0.375,76.95,76.14,76.28,76.9022,-0.0298,76.8516,-0.0159,0.1673,36.8797,36.5375,0,0,-0.49,0.81,0,3,12
2021-03-25 13:30:00,76.28,-0.49,-1.76,-0.6383,-2.2553,0,0,0.375,76.47,75.15,75.22,76.5856,-0.0352,76.5253,-0.0363,0.0134,31.9792,37.5269,0,0,-1.06,1.32,0,3,13
2021-03-25 14:30:00,75.23,-1.05,-2.58,-1.3765,-3.3158,0,0,0.0,76.46,75.19,76.23,76.41,-0.0195,76.4662,-0.0066,0.2271,40.1409,38.4456,0,0,1.0,1.27,1,3,14
2021-03-25 15:30:00,76.23,1.0,-1.53,1.3293,-1.9676,1,0,0.5,76.69,76.07,76.22,76.2378,-0.0191,76.417,-0.0055,0.251,40.0896,38.8952,0,0,-0.01,0.62,0,3,15
2021-03-26 09:30:00,76.44,0.21,-0.77,0.2755,-0.9973,1,0,0.75,76.97,75.97,76.57,76.1678,-0.0078,76.4476,0.0034,0.3455,42.8424,38.8273,1,1,0.13,1.0,1,4,9
2021-03-26 10:30:00,76.58,0.14,0.62,0.1832,0.8162,1,1,0.75,77.39,76.15,76.29,76.1511,-0.0019,76.4161,-0.0035,0.3028,41.211,38.0698,1,0,-0.29,1.24,0,4,10
2021-03-26 11:30:00,76.29,-0.29,0.24,-0.3787,0.3156,0,1,0.5,77.18,76.17,77.1,76.27,0.0132,76.5529,0.0152,0.516,47.4456,37.3664,1,1,0.81,1.01,1,4,11
2021-03-26 12:30:00,77.11,0.82,1.38,1.0748,1.8223,1,1,0.875,77.48,76.81,77.31,76.4444,0.0194,76.7043,0.0168,0.5913,48.957,36.208,1,1,0.2,0.67,1,4,12
2021-03-26 13:30:00,77.31,0.2,0.54,0.2594,0.7034,1,1,0.875,77.38,75.52,75.7,76.3244,-0.0133,76.5034,-0.0223,0.1871,39.5632,36.2784,0,0,-1.61,1.86,0,4,13
2021-03-26 14:30:00,75.69,-1.62,-0.59,-2.0955,-0.7735,0,0,0.125,76.82,75.03,76.76,76.3778,0.0059,76.5547,0.0057,0.4956,46.8008,36.6885,1,1,1.07,1.79,1,4,14
2021-03-26 15:30:00,76.77,1.08,1.54,1.4269,2.0471,1,1,0.625,77.5,76.5,77.41,76.6211,0.027,76.7258,0.019,0.6827,50.6997,36.0244,1,1,0.64,1.0,1,4,15
2021-03-29 09:30:00,77.01,0.24,0.78,0.3126,1.0232,1,1,0.625,78.02,76.26,77.08,76.7156,0.0105,76.7966,0.0079,0.6271,48.7464,34.6961,1,1,0.07,1.76,1,0,9
2021-03-29 10:30:00,77.06,0.05,0.62,0.0649,0.8111,1,1,0.625,77.58,76.56,76.79,76.7789,0.007,76.7953,-0.0001,0.5566,47.0316,33.4627,1,0,-0.27,1.02,0,0,10
2021-03-29 11:30:00,76.8,-0.26,0.22,-0.3374,0.2873,0,1,0.375,77.19,76.56,76.97,76.8233,0.0049,76.8302,0.0039,0.6495,48.2485,32.3174,1,1,0.17,0.63,1,0,11
2021-03-29 12:30:00,76.97,0.17,0.68,0.2214,0.8913,1,1,0.375,77.8,76.88,77.49,76.9567,0.0148,76.9622,0.0147,0.8763,51.7007,30.3917,1,1,0.52,0.92,1,0,12
2021-03-29 13:30:00,77.5,0.53,0.39,0.6886,0.5058,1,1,0.875,77.81,76.85,76.96,76.9411,-0.0017,76.9618,-0.0,0.6648,48.1734,28.6401,1,0,-0.54,0.96,0,0,13
2021-03-29 14:30:00,76.93,-0.57,-0.38,-0.7355,-0.4915,0,0,0.375,77.2,76.4,77.15,76.9233,-0.002,76.9994,0.0042,0.7251,49.5035,27.5545,1,1,0.22,0.8,1,0,14
2021-03-29 15:30:00,77.16,0.23,1.47,0.299,1.9421,1,1,0.75,77.26,76.97,77.15,77.0844,0.0179,77.0295,0.0033,0.7033,49.5035,26.4539,1,1,-0.01,0.29,0,0,15
2021-03-30 09:30:00,76.46,-0.7,-0.31,-0.9072,-0.4038,0,0,0.0,76.56,74.85,75.46,76.94,-0.016,76.7156,-0.0349,0.0268,39.1414,27.3326,0,0,-1.0,1.71,0,1,9
2021-03-30 10:30:00,75.46,-1.0,-1.55,-1.3079,-2.0127,0,0,0.0,75.99,75.3,75.8,76.7611,-0.0199,76.5325,-0.0203,0.1944,41.7816,28.1484,0,0,0.34,0.69,1,1,10
2021-03-30 11:30:00,75.8,0.34,-1.26,0.4506,-1.6351,1,0,0.125,76.0,75.13,75.58,76.5944,-0.0185,76.342,-0.0212,0.1421,40.5556,29.0259,0,0,-0.22,0.87,0,1,11
